//airport.gat,125,14,0,warp,ein041,1,1,airport.gat,19,20
//airport,161,13,0	warp	ein_ap04	1,1,airport,47,21

//Alberta City
lhz_in01,231,226,0	warp	lhz_rekenber8-1	1,1,lhz_in01,257,226
lhz_in01,251,226,0	warp	lhz_rekenber8-2	1,1,lhz_in01,225,226
lhz_in01,40,224,0	warp	lhz_rekenber9-1	1,1,lhz_in01,19,129
lhz_in01,15,129,0	warp	lhz_rekenber9-2	1,1,lhz_in01,34,224
lhz_in01,43,144,0	warp	lhz_rekenber10-1	1,1,lhz_in01,278,161
lhz_in01,278,157,0	warp	lhz_rekenber10-2	1,1,lhz_in01,43,139
lhz_in01,58,129,0	warp	lhz_rekenber11-1	1,1,lhz_in01,196,127
lhz_in01,191,127,0	warp	lhz_rekenber11-2	1,1,lhz_in01,53,129
lighthalzen,198,257,0	warp	lhz_bank1-1	1,1,lhz_in02,39,28
lhz_in02,44,28,0	warp	lhz_rekenberbank1-2	1,1,lighthalzen,203,257
lighthalzen,236,276,0	warp	lhz_police1-1	1,1,lhz_in02,133,199
lhz_in02,129,199,0	warp	lhz_police1-2	1,1,lighthalzen,232,275
lighthalzen,238,220,0	warp	lhz_com1-1	1,1,lhz_in02,28,270
lhz_in02,27,265,0	warp	lhz_com1-2	1,1,lighthalzen,238,217
lhz_in02,13,284,0	warp	lhz_com2-1	1,1,lhz_in02,89,285
lhz_in02,95,285,0	warp	lhz_com2-2	1,1,lhz_in02,18,284
lhz_in02,114,272,0	warp	lhz_com3-1	1,1,lhz_in02,153,282
lhz_in02,149,282,0	warp	lhz_com3-2	1,1,lhz_in02,109,272
lighthalzen,93,110,0	warp	lhz_jewel1-1	1,1,lhz_in02,104,26
lhz_in02,108,26,0	warp	lhz_jewel1-2	1,1,lighthalzen,96,110
lighthalzen,197,36,0	warp	lhz_weapon1-1	1,1,lhz_in02,284,30
lhz_in02,288,30,0	warp	lhz_weapon1-2	1,1,lighthalzen,194,35
lighthalzen,196,46,0	warp	lhz_weapon2-1	1,1,lhz_in02,282,83
lhz_in02,282,79,0	warp	lhz_weapon2-2	1,1,lighthalzen,194,48
lhz_in02,265,14,0	warp	lhz_weapon3-1	1,1,lhz_in02,269,82
lhz_in02,274,82,0	warp	lhz_weapon3-2	1,1,lhz_in02,270,14
lighthalzen,159,133,0	warp	lhz_inn1-1	1,1,lhz_in02,232,265
lhz_in02,232,261,0	warp	lhz_inn1-2	1,1,lighthalzen,158,129
lhz_in02,210,284,0	warp	lhz_inn2-1	1,1,lhz_in02,241,219
lhz_in02,236,219,0	warp	lhz_inn2-2	1,1,lhz_in02,206,284
lhz_in02,250,278,0	warp	lhz_inn3-1	1,1,lhz_in02,265,278
lhz_in02,261,278,0	warp	lhz_inn3-2	1,1,lhz_in02,246,278
lhz_in02,254,212,0	warp	lhz_inn4-1	1,1,lhz_in02,273,212
lhz_in02,269,212,0	warp	lhz_inn4-2	1,1,lhz_in02,250,212
lhz_in02,238,169,0	warp	lhz_inn5-1	1,1,lhz_in02,238,150
lhz_in02,238,154,0	warp	lhz_inn5-2	1,1,lhz_in02,238,173
lhz_in02,231,182,0	warp	lhz_inn6-1	1,1,lhz_in02,212,182
lhz_in02,216,182,0	warp	lhz_inn6-2	1,1,lhz_in02,235,182
lhz_in02,231,200,0	warp	lhz_inn7-1	1,1,lhz_in02,212,200
lhz_in02,216,200,0	warp	lhz_inn7-2	1,1,lhz_in02,235,200
lighthalzen,198,163,0	warp	lhz_store1-1	1,1,lhz_in02,21,195
lhz_in02,21,191,0	warp	lhz_store1-2	1,1,lighthalzen,202,160
lhz_in02,39,204,0	warp	lhz_store2-1	1,1,lhz_in02,41,136
lhz_in02,36,136,0	warp	lhz_store2-2	1,1,lhz_in02,34,204
lhz_in02,13,155,0	warp	lhz_store3-1	1,1,lhz_in02,84,223
lhz_in02,79,223,0	warp	lhz_store3-2	1,1,lhz_in02,17,155
lhz_in02,49,154,0	warp	lhz_store4-1	1,1,lhz_in02,98,155
lhz_in02,103,155,0	warp	lhz_store4-2	1,1,lhz_in02,44,154
lhz_in02,94,212,0	warp	lhz_store5-1	1,1,lhz_in02,94,144
lhz_in02,89,144,0	warp	lhz_store5-2	1,1,lhz_in02,89,212
lighthalzen,324,301,0	warp	lhz_tool1-1	1,1,lhz_in03,241,100
lhz_in03,237,100,0	warp	lhz_tool1-2	1,1,lighthalzen,322,296
lhz_in03,257,83,0	warp	lhz_tool2-1	1,1,lhz_in03,255,14
lhz_in03,250,14,0	warp	lhz_tool2-2	1,1,lhz_in03,252,83
lighthalzen,347,261,0	warp	lhz_house1_1-1	1,1,lhz_in03,14,218
lhz_in03,10,216,0	warp	lhz_house1_1-2	1,1,lighthalzen,341,261
lighthalzen,345,231,0	warp	lhz_pub1-1	1,1,lhz_in03,188,15
lhz_in03,188,11,0	warp	lhz_pub1-2	1,1,lighthalzen,344,227
lhz_in03,191,35,0	warp	lhz_pub2-1	1,1,lhz_in03,191,103
lhz_in03,190,100,0	warp	lhz_pub2-2	1,1,lhz_in03,190,31
lighthalzen,50,86,0	warp	lhz_house2_1-1	1,1,lhz_in03,45,31
lhz_in03,50,31,0	warp	lhz_house2_1-2	1,1,lighthalzen,55,86
lhz_in03,13,31,0	warp	lhz_house2_2-1	1,1,lhz_in03,15,99
lhz_in03,20,99,0	warp	lhz_house2_2-2	1,1,lhz_in03,17,31
lighthalzen,251,299,0	warp	lhz_house3_1-1	1,1,lhz_in03,97,21
lhz_in03,93,21,0	warp	lhz_house3_1-2	1,1,lighthalzen,247,299
lhz_in03,134,14,0	warp	lhz_house3_2-1	1,1,lhz_in03,125,90
lhz_in03,120,90,0	warp	lhz_house3_2-2	1,1,lhz_in03,130,14

louyang,218,19,0	warp	lou_fild1-1	1,1,lou_fild01,233,353
lou_fild01,233,356,0	warp	lou_fild1-2	1,1,louyang,218,22
louyang,218,255,0	warp	lou_palace1-1	1,1,lou_in01,101,122
lou_in01,101,119,0	warp	lou_palace1-2	1,1,louyang,218,252
lou_in01,153,141,0	warp	lou_palace2-1	1,1,lou_in01,122,141
lou_in01,125,141,0	warp	lou_palace2-2	1,1,lou_in01,156,141
louyang,280,167,0	warp	lou_pub1-1	1,1,lou_in02,58,173
lou_in02,58,170,0	warp	lou_pub1-2	1,1,louyang,280,164
lou_in02,35,190,0	warp	lou_pub2-1	1,1,lou_in02,41,138
lou_in02,44,138,0	warp	lou_pub2-2	1,1,lou_in02,37,190
lou_in02,80,190,0	warp	lou_pub3-1	1,1,lou_in02,73,140
lou_in02,71,140,0	warp	lou_pub3-2	1,1,lou_in02,77,190
louyang,145,174,0	warp	lou_weapon1-1	1,1,lou_in02,126,168
lou_in02,126,165,0	warp	lou_weapon1-2	1,1,louyang,145,171
louyang,136,97,0	warp	lou_tool1-1	1,1,lou_in02,247,171
lou_in02,249,173,0	warp	lou_tool1-2	1,1,louyang,136,99
louyang,263,93,0	warp	lou_hospital1-1	1,1,lou_in02,245,59
lou_in02,242,59,0	warp	lou_hospital1-2	1,1,louyang,260,93
louyang,309,80,0	warp	lou_office1-1	1,1,lou_in02,189,77
lou_in02,189,74,0	warp	lou_office1-2	1,1,louyang,309,77
lou_in02,201,94,0	warp	lou_office2-1	1,1,lou_in02,173,46
lou_in02,176,46,0	warp	lou_office2-2	1,1,lou_in02,203,94
louyang,130,63,0	warp	lou_house11-1	1,1,lou_in02,72,31
lou_in02,72,28,0	warp	lou_house11-2	1,1,louyang,130,60
louyang,317,176,0	warp	lou_house21-1	1,1,lou_in02,121,31
lou_in02,121,28,0	warp	lou_house21-2	1,1,louyang,317,173
louyang,133,245,0	warp	lou_tower1-1	1,1,lou_in01,25,19
lou_in01,28,19,0	warp	lou_tower1-2	1,1,louyang,136,245

lou_in01,14,18,0	warp	lou_Towerexit	1,1,louyang,90,254

xmas,149,41,0	warp	x_fild_out	8,1,xmas_fild01,80,248
xmas,120,131,0	warp	xmas_tool1-1	1,1,xmas_in,43,33
xmas_in,46,33,0	warp	xmas_tool1-2	1,1,xmas,123,131
xmas,174,131,0	warp	xmas_gift1-1	1,1,xmas_in,155,32
xmas_in,153,32,0	warp	xmas_gift1-2	1,1,xmas,172,131
xmas,119,162,0	warp	xmas_house1-1	1,1,xmas_in,36,91
xmas_in,38,89,0	warp	xmas_house1-2	1,1,xmas,122,159
xmas,189,278,0	warp	xmas_house2-1	1,1,xmas_in,168,164
xmas_in,168,160,0	warp	xmas_house2-2	1,1,xmas,189,275
xmas,173,160,0	warp	xmas_weapon1-1	1,1,xmas_in,165,95
xmas_in,163,93,0	warp	xmas_weapon1-2	1,1,xmas,172,158
xmas,181,169,0	warp	xmas_weapon2-1	1,1,xmas_in,177,107
xmas_in,179,109,0	warp	xmas_weapon2-2	1,1,xmas,184,168
xmas,142,239,0	warp	xmas_santa1-1	1,1,xmas_in,94,85
xmas_in,94,83,0	warp	xmas_santa1-2	1,1,xmas,142,237
xmas,149,239,0	warp	xmas_santa2-1	1,1,xmas_in,104,85
xmas_in,104,83,0	warp	xmas_santa2-2	1,1,xmas,149,237
xmas,142,258,0	warp	xmas_santa3-1	1,1,xmas_in,94,115
xmas_in,94,117,0	warp	xmas_santa3-2	1,1,xmas,142,260
xmas,149,258,0	warp	xmas_santa4-1	1,1,xmas_in,104,115
xmas_in,104,117,0	warp	xmas_santa4-2	1,1,xmas,149,260
xmas,104,289,0	warp	xmas_church1-1	1,1,xmas_in,30,163
xmas_in,30,161,0	warp	xmas_church2-2	1,1,xmas,104,286

//= Morroc City ==============================================
morocc,160,17,0	warp	moc001	2,2,moc_fild12,159,378
morocc,160,183,0	warp	moc002	2,1,moc_castle,94,181
morocc,160,297,0	warp	moc003	2,2,moc_fild07,198,25
morocc,197,66,0	warp	moc01	1,1,morocc_in,83,92
morocc,22,294,0	warp	moc02	2,5,moc_ruins,156,42
morocc,24,164,0	warp	moc004	1,2,moc_fild19,164,107
morocc,253,56,0	warp	moc03	2,1,morocc_in,134,74
morocc,26,297,0	warp	moc02-1	5,2,moc_ruins,156,42
morocc,274,269,0	warp	moc04	2,2,morocc_in,138,136
morocc,283,170,0	warp	moc07	2,2,morocc_in,108,176
morocc,302,207,0	warp	moc005	2,2,moc_fild10,22,207
morocc,46,46,0	warp	moc05	2,1,morocc_in,68,72
morocc,52,259,0	warp	moc06	1,2,morocc_in,180,65
morocc,85,55,0	warp	moc08	2,2,morocc_in,44,149
morocc,98,68,0	warp	moc09	1,1,morocc_in,44,175
morocc_in,105,95,0	warp	moc10-1	1,3,morocc_in,90,95
morocc_in,106,123,0	warp	moc11-1	1,3,morocc_in,90,123
morocc_in,108,179,0	warp	moc07-1	2,2,morocc,283,173
morocc_in,134,77,0	warp	moc03-1	3,1,morocc,251,59
morocc_in,136,136,0	warp	moc04-1	1,4,morocc,271,269
morocc_in,144,109,0	warp	moc12-1	3,1,morocc_in,144,125
morocc_in,144,122,0	warp	moc12	3,1,morocc_in,144,106
morocc_in,144,151,0	warp	moc13	3,1,morocc_in,144,169
morocc_in,144,166,0	warp	moc13-1	3,1,morocc_in,144,148
morocc_in,149,129,0	warp	moc14	1,2,morocc_in,169,129
morocc_in,166,130,0	warp	moc14-1	1,3,morocc_in,146,130
morocc_in,171,37,0	warp	moc15-1	4,1,morocc_in,171,52
morocc_in,171,50,0	warp	moc15	4,1,morocc_in,171,35
morocc_in,174,109,0	warp	moc22	3,1,morocc_in,174,125
morocc_in,174,122,0	warp	moc22-1	3,1,morocc_in,174,106
morocc_in,174,151,0	warp	moc16	3,1,morocc_in,174,169
morocc_in,174,166,0	warp	moc16-1	3,1,morocc_in,174,148
morocc_in,183,65,0	warp	moc06-1	2,3,morocc,55,259
morocc_in,23,161,0	warp	moc17	1,2,morocc_in,37,161
morocc_in,34,161,0	warp	moc17-1	1,2,morocc_in,20,161
morocc_in,44,146,0	warp	moc08-1	3,2,morocc,82,52
morocc_in,44,178,0	warp	moc09-1	2,2,morocc,100,70
morocc_in,55,123,0	warp	moc18-1	1,3,morocc_in,71,123
morocc_in,55,95,0	warp	moc19-1	1,3,morocc_in,71,95
morocc_in,57,161,0	warp	moc20	1,3,morocc_in,73,161
morocc_in,68,123,0	warp	moc18	1,3,morocc_in,52,123
morocc_in,68,42,0	warp	moc21-1	2,1,morocc_in,68,65
morocc_in,68,62,0	warp	moc21	2,1,morocc_in,68,38
morocc_in,68,75,0	warp	moc05-1	2,1,morocc,49,49
morocc_in,68,95,0	warp	moc19	1,3,morocc_in,52,95
morocc_in,70,161,0	warp	moc20-1	1,3,morocc_in,54,161
morocc_in,83,90,0	warp	moc01-1	4,1,morocc,199,64
morocc_in,86,101,0	warp	moc23	2,1,morocc_in,86,120
morocc_in,86,117,0	warp	moc23-1	3,1,morocc_in,86,98
morocc_in,93,123,0	warp	moc11	1,3,morocc_in,109,123
morocc_in,93,95,0	warp	moc10	1,3,morocc_in,109,95

//= Morroc Ruins ============================================
moc_ruins,161,40,0	warp	moc02-2	2,4,morocc,26,293
moc_ruins,157,37,0	warp	moc02-3	5,2,morocc,26,293
moc_ruins,54,161,0	warp	moc006	2,3,moc_pryd01,192,9
moc_ruins,71,16,0	warp	moc007	8,2,moc_fild19,71,167

//= Morroc Castle ===========================================
moc_castle,94,183,0	warp	mocc001	2,1,morocc,160,185
moc_castle,107,163,0	warp	mocc01	2,3,moc_castle,124,163
moc_castle,120,163,0	warp	mocc01-1	2,3,moc_castle,103,163
moc_castle,120,75,0	warp	mocc02	2,3,moc_castle,56,33
moc_castle,59,34,0	warp	mocc02-1	2,3,moc_castle,124,75
moc_castle,134,101,0	warp	mocc03	1,1,moc_castle,134,128
moc_castle,134,124,0	warp	mocc-03	2,2,moc_castle,134,98
moc_castle,134,139,0	warp	mocc04	1,1,moc_castle,134,160
moc_castle,134,156,0	warp	mocc04-1	2,2,moc_castle,134,136
moc_castle,149,163,0	warp	mocc05	2,3,moc_castle,162,163
moc_castle,158,163,0	warp	mocc05-1	2,3,moc_castle,145,163
moc_castle,16,131,0	warp	mocc06	1,2,moc_castle,16,164
moc_castle,16,160,0	warp	mocc06-1	1,2,moc_castle,16,125
moc_castle,170,131,0	warp	mocc07	2,2,moc_castle,170,163
moc_castle,170,160,0	warp	mocc07-1	1,1,moc_castle,170,128
moc_castle,29,163,0	warp	mocc08	2,2,moc_castle,44,163
moc_castle,40,163,0	warp	mocc08-1	2,2,moc_castle,25,163
moc_castle,51,114,0	warp	mocc09	3,2,moc_castle,54,65
moc_castle,54,69,0	warp	mocc09-1	3,2,moc_castle,52,117
moc_castle,54,139,0	warp	mocc10	2,2,moc_castle,54,160
moc_castle,54,156,0	warp	mocc10-1	2,2,moc_castle,54,134
moc_castle,63,89,0	warp	mocc11	2,3,moc_castle,83,89
moc_castle,80,89,0	warp	mocc11-1	2,3,moc_castle,60,89
moc_castle,69,163,0	warp	mocc12	2,2,moc_castle,86,163
moc_castle,82,163,0	warp	mocc12-1	2,2,moc_castle,66,163
moc_castle,88,93,0	warp	mocc13	1,1,moc_castle,94,119
moc_castle,94,116,0	warp	mocc13-1	1,1,moc_castle,88,90
moc_castle,96,90,0	warp	mocc13-2	1,1,moc_castle,94,119
moc_castle,92,67,0	warp	mocc14	3,2,moc_castle,92,85
moc_castle,92,82,0	warp	mocc14-1	3,2,moc_castle,92,63
moc_castle,94,143,0	warp	mocc15	3,2,moc_castle,94,160
moc_castle,94,156,0	warp	mocc15-1	3,2,moc_castle,94,140

// ---[ Mansion ]--- 
moscovia,224,235,0	warp	moskwarp1001	1,1,mosk_in,96,91
mosk_in,93,91,0	warp	moskwarp1002	1,1,moscovia,224,232
mosk_in,100,126,0	warp	moskwarp1003	1,1,mosk_in,21,116
mosk_in,21,113,0	warp	moskwarp1004	1,1,mosk_in,100,123
// ---[ Weapon House ]--- 
moscovia,185,189,0	warp	moskwarp1005	1,1,mosk_in,16,179
mosk_in,13,179,0	warp	moskwarp1006	1,1,moscovia,188,193
moscovia,203,171,0	warp	moskwarp1007	1,1,mosk_in,85,179
mosk_in,88,179,0	warp	moskwarp1008	1,1,moscovia,205,168
// ---[ Instrument House / Tool Dealer ]--- 
moscovia,223,174,0	warp	moskwarp1009	1,1,mosk_in,14,245
mosk_in,11,245,0	warp	moskwarp1010	1,1,moscovia,220,177
// ---[ Inn ]--- 
moscovia,229,207,0	warp	moskwarp1011	1,1,mosk_in,141,178
mosk_in,141,175,0	warp	moskwarp1012	1,1,moscovia,226,204
mosk_in,150,191,0	warp	moskwarp1013	1,1,mosk_in,206,187
mosk_in,203,187,0	warp	moskwarp1014	1,1,mosk_in,147,191
// ---[ Mansion ]--- 
moscovia,256,138,0	warp	moskwarp1015	1,1,mosk_in,211,114
mosk_in,211,111,0	warp	moskwarp1016	1,1,moscovia,254,141
mosk_in,221,128,0	warp	moskwarp1017	1,1,mosk_in,287,120
mosk_in,287,117,0	warp	moskwarp1018	1,1,mosk_in,221,125
// ---[ Private House ]--- 
moscovia,195,80,0	warp	moskwarp1019	1,1,mosk_in,215,40
mosk_in,215,37,0	warp	moskwarp1020	1,1,moscovia,194,78
// ---[ Private House ]--- 
moscovia,205,98,0	warp	moskwarp1021	1,1,mosk_in,213,256
mosk_in,213,253,0	warp	moskwarp1022	1,1,moscovia,202,96
mosk_in,219,272,0	warp	moskwarp1023	1,1,mosk_in,151,276
mosk_in,151,273,0	warp	moskwarp1024	1,1,mosk_in,219,269

nameless_n,157,184,0	warp	namelesswarp0401	1,1,abbey01,51,12
nameless_i,168,257,0	warp	namelesswarp1001	1,1,nameless_in,12,43
nameless_in,12,40,0	warp	namelesswarp1002	1,1,nameless_i,168,254
nameless_i,252,130,0	warp	namelesswarp1003	1,1,nameless_in,26,128
nameless_in,23,128,0	warp	namelesswarp1004	1,1,nameless_i,249,130
nameless_i,79,256,0	warp	namelesswarp1005	1,1,nameless_in,12,172
nameless_in,12,169,0	warp	namelesswarp1006	1,1,nameless_i,82,256
nameless_i,78,94,0	warp	namelesswarp1007	1,1,nameless_in,96,180
nameless_in,96,177,0	warp	namelesswarp1008	1,1,nameless_i,81,96

//Niflheim Fields
nif_fild01,345,323,0	warp	nwarp7	1,1,nif_fild02,23,312
nif_fild02,21,312,0	warp	nwarp8	1,1,nif_fild01,343,322
nif_fild02,379,235,0	warp	nwarp9	1,1,niflheim,20,153
niflheim,18,151,0	warp	nwarp10	1,1,nif_fild02,376,235

//Niflheim Town

//Weapon shop
niflheim,220,169,0	warp	nwarp11	1,1,nif_in,14,88
nif_in,11,88,0	warp	nwarp12	1,1,niflheim,218,170

//Item shop: 134,12
niflheim,219,199,0	warp	nwarp13	1,1,nif_in,136,14
nif_in,134,12,0	warp	nwarp14	1,1,niflheim,218,197

//House
niflheim,190,241,0	warp	nwarp19a	1,1,nif_in,81,77
nif_in,78,74,0	warp	nwarp20a	1,1,niflheim,187,241

//Inn
niflheim,189,211,0	warp	nwarp21a	1,1,nif_in,20,14
nif_in,23,12,0	warp	nwarp22a	1,1,niflheim,189,207
nif_in,34,34,0	warp	nwarp23	1,1,nif_in,88,31
nif_in,88,29,0	warp	nwarp24	1,1,nif_in,34,31

//House on the hill
niflheim,255,194,0	warp	nwarp15	1,1,nif_in,20,156
nif_in,18,154,0	warp	nwarp16	1,1,niflheim,254,192
nif_in,65,168,0	warp	nwarp17	1,1,nif_in,141,174
nif_in,140,171,0	warp	nwarp18	1,1,nif_in,65,165

niflheim,165,162,0	warp	nwarp19	1,1,nif_in,156,80
nif_in,169,82,0	warp	nwarp20	1,1,nif_in,189,105
nif_in,186,105,0	warp	nwarp21	1,1,nif_in,167,82
nif_in,154,78,0	warp	nwarp22	1,1,niflheim,167,161

// == Official Warps From kRO Screenshots ==

// -- Entrance / Exit --
payon,16,142,0	warp	payonwarp001	1,1,pay_gld,370,149
pay_gld,374,149,0	warp	payonwarp002	1,1,payon,20,142
payon,122,27,0	warp	payonwarp003	5,3,pay_fild01,333,356
pay_fild01,333,360,0	warp	payonwarp004	5,3,payon,122,31
payon,267,89,0	warp	payonwarp005	1,1,pay_fild08,20,74
payon,228,330,0	warp	payonwarp007	4,2,pay_arche,81,22
pay_arche,81,18,0	warp	payonwarp008	5,2,payon,228,326

// -- Inn --
payon,223,117,0	warp	payonwarp009	2,2,payon_in01,175,11
payon_in01,172,11,0	warp	payonwarp010	2,2,payon,219,117
payon_in01,180,43,0	warp	payonwarp011	2,2,payon_in01,181,73
payon_in01,181,70,0	warp	payonwarp012	2,2,payon_in01,180,40
payon_in01,193,92,0	warp	payonwarp013	2,2,payon_in01,143,61
payon_in01,146,61,0	warp	payonwarp014	2,2,payon_in01,193,89
payon_in01,133,42,0	warp	payonwarp015	2,2,payon_in01,133,18
payon_in01,133,21,0	warp	payonwarp016	2,2,payon_in01,133,45

// -- Sort of Mill --
payon,140,85,0	warp	payonwarp017	2,2,payon_in01,14,51
payon_in01,17,51,0	warp	payonwarp018	2,2,payon,143,85
payon_in01,10,59,0	warp	payonwarp019	2,2,payon_in01,10,83
payon_in01,10,80,0	warp	payonwarp021	2,2,payon_in01,10,56
payon_in01,10,38,0	warp	payonwarp022	2,2,payon_in01,10,14
payon_in01,10,17,0	warp	payonwarp023	2,2,payon_in01,10,41

// -- Weaponshop --
payon,135,158,0	warp	payonwarp024	2,2,payon_in01,20,129
payon_in01,23,129,0	warp	payonwarp025	2,2,payon,138,158
payon,130,169,0	warp	payonwarp026	2,2,payon_in01,13,136
payon_in01,13,139,0	warp	payonwarp027	2,2,payon,130,172

// -- House --
payon,151,127,0	warp	payonwarp028	2,2,payon_in01,56,53
payon_in01,56,50,0	warp	payonwarp029	2,2,payon,151,124

// -- Middle Castle --
payon,155,248,0	warp	payonwarp030	4,1,payon_in03,98,117
payon_in03,98,114,0	warp	payonwarp031	5,1,payon,155,245
payon_in03,90,124,0	warp	payonwarp032	2,2,payon_in03,80,124
payon_in03,83,124,0	warp	payonwarp033	2,2,payon_in03,93,124
payon_in03,99,133,0	warp	payonwarp034	2,2,payon_in03,99,151
payon_in03,99,148,0	warp	payonwarp035	2,2,payon_in03,99,130
payon_in03,107,124,0	warp	payonwarp036	2,2,payon_in03,117,124
payon_in03,114,124,0	warp	payonwarp037	2,2,payon_in03,104,124

// -- Weapon Storage Building --
payon,189,233,0	warp	payonwarp038	2,2,payon_in03,149,39
payon_in03,146,39,0	warp	payonwarp039	2,2,payon,186,233
payon_in03,158,32,0	warp	payonwarp040	2,2,payon_in03,130,14
payon_in03,130,17,0	warp	payonwarp041	2,2,payon_in03,158,35
payon_in03,172,32,0	warp	payonwarp042	2,2,payon_in03,160,14
payon_in03,160,17,0	warp	payonwarp043	2,2,payon_in03,172,35
payon_in03,186,32,0	warp	payonwarp044	2,2,payon_in03,190,13
payon_in03,190,17,0	warp	payonwarp045	2,2,payon_in03,186,35

// -- House --
payon,256,285,0	warp	payonwarp046	2,2,payon_in01,45,11
payon_in01,42,11,0	warp	payonwarp047	2,2,payon,253,285

// -- Old Archer Village Warps --
pay_arche,36,131,0	warp	payonwarp048	2,2,pay_dun00,21,183
pay_arche,71,156,0	warp	payonwarp049	2,2,payon_in02,82,41
pay_arche,92,170,0	warp	payonwarp050	2,2,payon_in02,50,7
pay_arche,145,165,0	warp	payonwarp051	2,2,payon_in02,64,60
payon_in02,10,25,0	warp	payonwarp052	2,2,payon_in02,72,67
payon_in02,35,67,0	warp	payonwarp053	2,2,payon_in02,55,67
payon_in02,50,4,0	warp	payonwarp054	3,1,pay_arche,92,166
payon_in02,52,67,0	warp	payonwarp055	2,2,payon_in02,32,67
payon_in02,61,33,0	warp	payonwarp056	2,2,payon_in02,73,33
payon_in02,64,56,0	warp	payonwarp057	2,2,pay_arche,141,161
payon_in02,70,33,0	warp	payonwarp058	2,2,payon_in02,58,33
payon_in02,75,67,0	warp	payonwarp059	2,2,payon_in02,13,25
payon_in02,82,45,0	warp	payonwarp060	2,2,pay_arche,74,153


// == Self Made Warps, No Screen Availble ==

// -- Large West House --
payon,127,204,0	warp	payonwarp061	2,2,payon_in03,81,19
payon_in03,85,19,0	warp	payonwarp062	2,2,payon,131,204
payon_in03,74,18,0	warp	payonwarp063	2,2,payon_in03,62,18
payon_in03,67,18,0	warp	payonwarp064	2,2,payon_in03,78,18
payon_in03,46,18,0	warp	payonwarp065	2,2,payon_in03,35,18
payon_in03,39,18,0	warp	payonwarp066	2,2,payon_in03,51,18
payon_in03,28,18,0	warp	payonwarp067	2,2,payon_in03,17,18
payon_in03,21,18,0	warp	payonwarp068	2,2,payon_in03,32,18

// -- Big Kitchen --
payon,155,327,0	warp	payonwarp069	2,2,payon_in03,165,143
payon_in03,165,140,0	warp	payonwarp070	2,2,payon,155,324
payon_in03,185,178,0	warp	payonwarp071	2,2,payon_in03,185,149
payon_in03,185,153,0	warp	payonwarp072	2,2,payon_in03,185,182

// -- Upper Castle --
payon,107,327,0	warp	payonwarp073	2,2,payon_in03,19,64
payon_in03,19,60,0	warp	payonwarp074	2,2,payon,107,323
payon_in03,19,73,0	warp	payonwarp075	2,2,payon_in03,19,90
payon_in03,19,86,0	warp	payonwarp076	2,2,payon_in03,19,69
payon_in03,19,103,0	warp	payonwarp077	2,2,payon_in03,19,122
payon_in03,19,118,0	warp	payonwarp078	2,2,payon_in03,19,99
payon_in03,11,131,0	warp	payonwarp079	2,2,payon_in03,11,146
payon_in03,11,142,0	warp	payonwarp080	2,2,payon_in03,11,127
payon_in03,27,131,0	warp	payonwarp081	2,2,payon_in03,27,146
payon_in03,27,142,0	warp	payonwarp082	2,2,payon_in03,27,127
payon_in03,11,161,0	warp	payonwarp083	2,2,payon_in03,11,176
payon_in03,11,172,0	warp	payonwarp084	2,2,payon_in03,11,157
payon_in03,27,161,0	warp	payonwarp085	2,2,payon_in03,27,176
payon_in03,27,172,0	warp	payonwarp086	2,2,payon_in03,27,157

// -- House --
payon_in01,86,9,0	warp	payonwarp087	2,2,payon,266,152
payon,270,152,0	warp	payonwarp088	2,2,payon_in01,90,9
payon_in01,107,71,0	warp	payonwarp089	2,2,payon_in01,96,37
payon_in01,93,37,0	warp	payonwarp090	2,2,payon_in01,104,71

//= Prontera City ============================================
prontera,107,215,0	warp	prt01	2,2,prt_in,240,139
prontera,120,267,0	warp	prt02	2,2,prt_in,180,97
prontera,133,183,0	warp	prt03	2,2,prt_in,50,105
prontera,134,221,0	warp	prt04	1,1,prt_in,131,71
prontera,156,22,0	warp	prt001	3,2,prt_fild08,170,375
prontera,156,360,0	warp	prt005	4,2,prt_castle,102,20
prontera,177,221,0	warp	prt05	2,2,prt_in,168,128
prontera,179,184,0	warp	prt06	2,2,prt_in,60,73
prontera,192,267,0	warp	prt07	2,2,prt_in,178,55
prontera,204,192,0	warp	prt08	2,2,prt_in,68,134
prontera,208,154,0	warp	prt09	2,2,prt_in,172,29
prontera,22,203,0	warp	prt002	2,3,prt_fild05,367,205
prontera,237,317,0	warp	prt004	2,2,prt_church,100,60
prontera,289,203,0	warp	prt003	2,3,prt_fild06,27,193
prontera,42,67,0	warp	prt10	2,2,prt_in,44,29
prontera,45,346,0	warp	prt11	2,2,prt_in,80,110
prontera,73,100,0	warp	prt12	1,1,prt_in,208,176
prontera,74,90,0	warp	prt13	2,2,prt_in,248,170
prontera,84,89,0	warp	prt14-1	1,1,prt_in,282,176
prontera,263,279,0	warp	prt15-2	2,2,prt_in,227,18
prt_in,135,71,0	warp	prt04-1	1,2,prontera,136,219
prt_in,168,124,0	warp	prt05-1	2,1,prontera,174,218
prt_in,172,33,0	warp	prt09-1	2,1,prontera,205,157
prt_in,181,55,0	warp	prt07-1	1,2,prontera,192,264
prt_in,183,97,0	warp	prt02-1	1,2,prontera,120,264
prt_in,208,179,0	warp	prt12-1	3,1,prontera,76,102
